                 BMT  |                root  |Barrel Micromegas Vertex Tracker  |                                    0*mm 0*mm 0*mm  |                       0*deg 0*deg 0*deg  |aaaaff3   |                Tube  |                       75*mm 240.000*mm 330*mm 0*deg 360*deg  |               myAir  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
BMT_ResistStrips_C_Layer1_Segment03  |                 BMT  |ResistStrips C, Layer 1,  Segment 03  |                     0*mm 0*mm 59.2730778033817*mm  |                      0*deg 0*deg 90*deg  | 000000   |                Tube  |76.438584*mm 76.458584*mm 31.5385459522971*mm 9.28612699457437*deg 101.427746010851*deg  |  mybmtc4ResistPaste  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_Gas1_C_Layer1_Segment01  |                 BMT  |  Gas1 C, Layer 1,  Segment 01  |                     0*mm 0*mm 59.2730778033817*mm  |                    0*deg 0*deg -150*deg  |e868504   |                Tube  |76.458584*mm 76.586584*mm 31.5385459522971*mm 9.28612699457437*deg 101.427746010851*deg  |          mybmtMMGas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_Gas1_C_Layer1_Segment02  |                 BMT  |  Gas1 C, Layer 1,  Segment 02  |                     0*mm 0*mm 59.2730778033817*mm  |                     0*deg 0*deg -30*deg  |e868504   |                Tube  |76.458584*mm 76.586584*mm 31.5385459522971*mm 9.28612699457437*deg 101.427746010851*deg  |          mybmtMMGas  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_Gas1_C_Layer1_Segment03  |                 BMT  |  Gas1 C, Layer 1,  Segment 03  |                     0*mm 0*mm 59.2730778033817*mm  |                      0*deg 0*deg 90*deg  |e868504   |                Tube  |76.458584*mm 76.586584*mm 31.5385459522971*mm 9.28612699457437*deg 101.427746010851*deg  |          mybmtMMGas  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_Mesh_C_Layer1_Segment01  |                 BMT  |  Mesh C, Layer 1,  Segment 01  |                     0*mm 0*mm 59.2730778033817*mm  |                    0*deg 0*deg -150*deg  | 252020   |                Tube  |76.586584*mm 76.604584*mm 31.5385459522971*mm 9.28612699457437*deg 101.427746010851*deg  |         mybmtMMMesh  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_Mesh_C_Layer1_Segment02  |                 BMT  |  Mesh C, Layer 1,  Segment 02  |                     0*mm 0*mm 59.2730778033817*mm  |                     0*deg 0*deg -30*deg  | 252020   |                Tube  |76.586584*mm 76.604584*mm 31.5385459522971*mm 9.28612699457437*deg 101.427746010851*deg  |         mybmtMMMesh  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_Mesh_C_Layer1_Segment03  |                 BMT  |  Mesh C, Layer 1,  Segment 03  |                     0*mm 0*mm 59.2730778033817*mm  |                      0*deg 0*deg 90*deg  | 252020   |                Tube  |76.586584*mm 76.604584*mm 31.5385459522971*mm 9.28612699457437*deg 101.427746010851*deg  |         mybmtMMMesh  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
BMT_Gas2_C_Layer1_Segment01  |                 BMT  | Gas2 C, Layer 1,   Segment 01  |                     0*mm 0*mm 59.2730778033817*mm  |                    0*deg 0*deg -150*deg  |e868504   |                Tube  |76.604584*mm 79.604584*mm 31.5385459522971*mm 9.28612699457437*deg 101.427746010851*deg  |          mybmtMMGas  |                  no  |     1   |     1   |     1   |   1   |   1   |                 bmt  |                 bmt  |superlayer manual 1 type manual 1 segment manual 1 strip manual 1 
BMT_Gas2_C_Layer1_Segment02  |                 BMT  | Gas2 C, Layer 1,   Segment 02  |                     0*mm 0*mm 59.2730778033817*mm  |                     0*deg 0*deg -30*deg  |e868504   |                Tube  |76.604584*mm 79.604584*mm 31.5385459522971*mm 9.28612699457437*deg 101.427746010851*deg  |          mybmtMMGas  |                  no  |     2   |     1   |     1   |   1   |   1   |                 bmt  |                 bmt  |superlayer manual 1 type manual 1 segment manual 2 strip manual 1 
BMT_Gas2_C_Layer1_Segment03  |                 BMT  | Gas2 C, Layer 1,   Segment 03  |                     0*mm 0*mm 59.2730778033817*mm  |                      0*deg 0*deg 90*deg  |e868504   |                Tube  |76.604584*mm 79.604584*mm 31.5385459522971*mm 9.28612699457437*deg 101.427746010851*deg  |          mybmtMMGas  |                  no  |     3   |     1   |     1   |   1   |   1   |                 bmt  |                 bmt  |superlayer manual 1 type manual 1 segment manual 3 strip manual 1 
