sector0_superlayer1_layer0_paddle9 | root|   0.0000*mm   0.0000*mm -13.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm      -0.105632*mm      80.104252*mm      -0.105633*mm     100.131699*mm     -10.361558*mm      99.594208*mm      -8.268121*mm      79.676474*mm  | 0 1 0 9
sector0_superlayer1_layer1_paddle0 | root|   0.0000*mm   0.0000*mm -265.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm  | 0 1 1 0
sector0_superlayer1_layer1_paddle1 | root|   0.0000*mm   0.0000*mm -237.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm  | 0 1 1 1
sector0_superlayer1_layer1_paddle2 | root|   0.0000*mm   0.0000*mm -209.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm  | 0 1 1 2
sector0_superlayer1_layer1_paddle3 | root|   0.0000*mm   0.0000*mm -181.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm  | 0 1 1 3
sector0_superlayer1_layer1_paddle4 | root|   0.0000*mm   0.0000*mm -153.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm  | 0 1 1 4
sector0_superlayer1_layer1_paddle5 | root|   0.0000*mm   0.0000*mm -125.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm  | 0 1 1 5
sector0_superlayer1_layer1_paddle6 | root|   0.0000*mm   0.0000*mm -97.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm  | 0 1 1 6
sector0_superlayer1_layer1_paddle7 | root|   0.0000*mm   0.0000*mm -69.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm  | 0 1 1 7
sector0_superlayer1_layer1_paddle8 | root|   0.0000*mm   0.0000*mm -41.8500*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap |  13.8500*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm      -8.478228*mm      79.654391*mm     -10.571667*mm      99.572125*mm     -20.715226*mm      97.965543*mm     -16.551286*mm      78.375744*mm  | 0 1 1 8
