 CarbonMountingBar14  |         ahdc_mother  |        Carbon Mounting Bar 14  |                                             0 0 0  |                                   0 0 0  | ffff00   |                Tube  |                 124.5*mm 128.471*mm 141.2*mm 318*deg 12*deg  |                G4_C  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 240041 
 CarbonMountingBar15  |         ahdc_mother  |        Carbon Mounting Bar 15  |                                             0 0 0  |                                   0 0 0  | ffff00   |                Tube  |                 124.5*mm 128.471*mm 141.2*mm 342*deg 12*deg  |                G4_C  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 240042 
        ATOFpatchPCB  |         ahdc_mother  |                ATOF Patch PCB  |                                0*mm 0*mm -50.8*mm  |                                   0 0 0  | 00760e   |                Tube  |                   172.8*mm 173.866*mm 50.8*mm 0*deg 360*deg  |        G4_NYLON-6-6  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 24002 
     ATOFCarbonPlate  |         ahdc_mother  |ATOF Carbon Mounting Plate and Spacer  |                                0*mm 0*mm -63.5*mm  |                                   0 0 0  | ff0000   |                Tube  |                    147.4*mm 152.57*mm 76.5*mm 0*deg 360*deg  |                G4_C  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 24004 
              AlRib1  |         ahdc_mother  |                 ATOF AL rib 1  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 0055ff   |                Tube  |                133.4*mm 147.4*mm 159*mm 357.09*deg 5.82*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 24006 
              AlRib2  |         ahdc_mother  |                 ATOF AL rib 2  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 0055ff   |                Tube  |                 133.4*mm 147.4*mm 159*mm 69.09*deg 5.82*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 240062 
              AlRib3  |         ahdc_mother  |                 ATOF AL rib 3  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 0055ff   |                Tube  |                133.4*mm 147.4*mm 159*mm 141.09*deg 5.82*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 240063 
              AlRib4  |         ahdc_mother  |                 ATOF AL rib 4  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 0055ff   |                Tube  |                133.4*mm 147.4*mm 159*mm 213.09*deg 5.82*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 240064 
              AlRib5  |         ahdc_mother  |                 ATOF AL rib 5  |                                    0*mm 0*mm 0*mm  |                                   0 0 0  | 0055ff   |                Tube  |                133.4*mm 147.4*mm 159*mm 285.09*deg 5.82*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 240065 
           EpoxyRib1  |         ahdc_mother  |              ATOF Epoxy rib 1  |                                  0*mm 0*mm -73*mm  |                                   0 0 0  | ff8600   |                Tube  |                  133.4*mm 147.4*mm 86*mm 21.09*deg 5.82*deg  |     EpoxyFiberGlass  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 240017 
           EpoxyRib2  |         ahdc_mother  |              ATOF Epoxy rib 2  |                                  0*mm 0*mm -73*mm  |                                   0 0 0  | ff8600   |                Tube  |                  133.4*mm 147.4*mm 86*mm 45.09*deg 5.82*deg  |     EpoxyFiberGlass  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 240018 
           EpoxyRib3  |         ahdc_mother  |              ATOF Epoxy rib 3  |                                  0*mm 0*mm -73*mm  |                                   0 0 0  | ff8600   |                Tube  |                  133.4*mm 147.4*mm 86*mm 93.09*deg 5.82*deg  |     EpoxyFiberGlass  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 240019 
           EpoxyRib4  |         ahdc_mother  |              ATOF Epoxy rib 4  |                                  0*mm 0*mm -73*mm  |                                   0 0 0  | ff8600   |                Tube  |                 133.4*mm 147.4*mm 86*mm 117.09*deg 5.82*deg  |     EpoxyFiberGlass  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |sector manual 0 superlayer manual 0 layer manual 0 component manual 240020 
