          region3_s2  |                root  |CLAS12 Drift Chambers, Sector 2 Region 3  |      113.6197222*cm 196.7951316*cm 457.3735853*cm  |        ordered: zxy 30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |21.377781*cm -0.4363323*rad 1.5707963*rad 199.47108*cm 11.8904295*cm 212.5054318*cm 0*rad 209.0910256*cm 18.2668875*cm 228.7474187*cm 0*rad  |               G4_Al  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region3_s3  |                root  |CLAS12 Drift Chambers, Sector 3 Region 3  |     -113.6197222*cm 196.7951316*cm 457.3735853*cm  |       ordered: zxy -30*deg 25*deg 0*deg  | aa0000   |              G4Trap  |21.377781*cm -0.4363323*rad 1.5707963*rad 199.47108*cm 11.8904295*cm 212.5054318*cm 0*rad 209.0910256*cm 18.2668875*cm 228.7474187*cm 0*rad  |               G4_Al  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region3_s4  |                root  |CLAS12 Drift Chambers, Sector 4 Region 3  |               -227.2394445*cm 0*cm 457.3735853*cm  |       ordered: zxy -90*deg 25*deg 0*deg  | aa0000   |              G4Trap  |21.377781*cm -0.4363323*rad 1.5707963*rad 199.47108*cm 11.8904295*cm 212.5054318*cm 0*rad 209.0910256*cm 18.2668875*cm 228.7474187*cm 0*rad  |               G4_Al  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region3_s5  |                root  |CLAS12 Drift Chambers, Sector 5 Region 3  |    -113.6197222*cm -196.7951316*cm 457.3735853*cm  |      ordered: zxy -150*deg 25*deg 0*deg  | aa0000   |              G4Trap  |21.377781*cm -0.4363323*rad 1.5707963*rad 199.47108*cm 11.8904295*cm 212.5054318*cm 0*rad 209.0910256*cm 18.2668875*cm 228.7474187*cm 0*rad  |               G4_Al  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
          region3_s6  |                root  |CLAS12 Drift Chambers, Sector 6 Region 3  |     113.6197222*cm -196.7951316*cm 457.3735853*cm  |      ordered: zxy -210*deg 25*deg 0*deg  | aa0000   |              G4Trap  |21.377781*cm -0.4363323*rad 1.5707963*rad 199.47108*cm 11.8904295*cm 212.5054318*cm 0*rad 209.0910256*cm 18.2668875*cm 228.7474187*cm 0*rad  |               G4_Al  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
       regionGas1_s1  |          region1_s1  |CLAS12 Drift Chambers Gas, Sector 1 Region 1  |                                    0*cm 0*cm 0*cm  |                                   0 0 0  | aa0000   |              G4Trap  |9.58899*cm -0.4363323*rad 1.5707963*rad 81.1445574*cm 5.7747812*cm 88.7857358*cm 0*rad 85.1540852*cm 8.0509463*cm 95.1737861*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
       regionGas1_s2  |          region1_s2  |CLAS12 Drift Chambers Gas, Sector 2 Region 1  |                                    0*cm 0*cm 0*cm  |                                   0 0 0  | aa0000   |              G4Trap  |9.58899*cm -0.4363323*rad 1.5707963*rad 81.1445574*cm 5.7747812*cm 88.7857358*cm 0*rad 85.1540852*cm 8.0509463*cm 95.1737861*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
       regionGas1_s3  |          region1_s3  |CLAS12 Drift Chambers Gas, Sector 3 Region 1  |                                    0*cm 0*cm 0*cm  |                                   0 0 0  | aa0000   |              G4Trap  |9.58899*cm -0.4363323*rad 1.5707963*rad 81.1445574*cm 5.7747812*cm 88.7857358*cm 0*rad 85.1540852*cm 8.0509463*cm 95.1737861*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
       regionGas1_s4  |          region1_s4  |CLAS12 Drift Chambers Gas, Sector 4 Region 1  |                                    0*cm 0*cm 0*cm  |                                   0 0 0  | aa0000   |              G4Trap  |9.58899*cm -0.4363323*rad 1.5707963*rad 81.1445574*cm 5.7747812*cm 88.7857358*cm 0*rad 85.1540852*cm 8.0509463*cm 95.1737861*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
       regionGas1_s5  |          region1_s5  |CLAS12 Drift Chambers Gas, Sector 5 Region 1  |                                    0*cm 0*cm 0*cm  |                                   0 0 0  | aa0000   |              G4Trap  |9.58899*cm -0.4363323*rad 1.5707963*rad 81.1445574*cm 5.7747812*cm 88.7857358*cm 0*rad 85.1540852*cm 8.0509463*cm 95.1737861*cm 0*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
