       sl1_layer2_s6  |          region1_s6  |Region 1, Super Layer 1, layer 2, Sector 6  |           -2.4313108*cm -5.8807661*cm -7.23203*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799044*cm 6.0646451*cm 84.6585112*cm -0.1323475*rad 75.5799044*cm 6.0646451*cm 84.6585112*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 2 wire manual 1 
       sl1_layer3_s1  |          region1_s1  |Region 1, Super Layer 1, layer 3, Sector 1  |           -2.4649222*cm -5.2047008*cm -6.07355*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799047*cm 6.6917418*cm 85.2856082*cm -0.1323475*rad 75.5799047*cm 6.6917418*cm 85.2856082*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s2  |          region1_s2  |Region 1, Super Layer 1, layer 3, Sector 2  |           -2.4649222*cm -5.2047008*cm -6.07355*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799047*cm 6.6917418*cm 85.2856082*cm -0.1323475*rad 75.5799047*cm 6.6917418*cm 85.2856082*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s3  |          region1_s3  |Region 1, Super Layer 1, layer 3, Sector 3  |           -2.4649222*cm -5.2047008*cm -6.07355*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799047*cm 6.6917418*cm 85.2856082*cm -0.1323475*rad 75.5799047*cm 6.6917418*cm 85.2856082*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s4  |          region1_s4  |Region 1, Super Layer 1, layer 3, Sector 4  |           -2.4649222*cm -5.2047008*cm -6.07355*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799047*cm 6.6917418*cm 85.2856082*cm -0.1323475*rad 75.5799047*cm 6.6917418*cm 85.2856082*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s5  |          region1_s5  |Region 1, Super Layer 1, layer 3, Sector 5  |           -2.4649222*cm -5.2047008*cm -6.07355*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799047*cm 6.6917418*cm 85.2856082*cm -0.1323475*rad 75.5799047*cm 6.6917418*cm 85.2856082*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer3_s6  |          region1_s6  |Region 1, Super Layer 1, layer 3, Sector 6  |           -2.4649222*cm -5.2047008*cm -6.07355*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799047*cm 6.6917418*cm 85.2856082*cm -0.1323475*rad 75.5799047*cm 6.6917418*cm 85.2856082*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 6 superlayer manual 1 layer manual 3 wire manual 1 
       sl1_layer4_s1  |          region1_s1  |Region 1, Super Layer 1, layer 4, Sector 1  |           -2.4612548*cm -5.8776191*cm -4.91507*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799047*cm 6.6233179*cm 85.2171842*cm -0.1323475*rad 75.5799047*cm 6.6233179*cm 85.2171842*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 1 superlayer manual 1 layer manual 4 wire manual 1 
       sl1_layer4_s2  |          region1_s2  |Region 1, Super Layer 1, layer 4, Sector 2  |           -2.4612548*cm -5.8776191*cm -4.91507*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799047*cm 6.6233179*cm 85.2171842*cm -0.1323475*rad 75.5799047*cm 6.6233179*cm 85.2171842*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 2 superlayer manual 1 layer manual 4 wire manual 1 
       sl1_layer4_s3  |          region1_s3  |Region 1, Super Layer 1, layer 4, Sector 3  |           -2.4612548*cm -5.8776191*cm -4.91507*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799047*cm 6.6233179*cm 85.2171842*cm -0.1323475*rad 75.5799047*cm 6.6233179*cm 85.2171842*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 3 superlayer manual 1 layer manual 4 wire manual 1 
       sl1_layer4_s4  |          region1_s4  |Region 1, Super Layer 1, layer 4, Sector 4  |           -2.4612548*cm -5.8776191*cm -4.91507*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799047*cm 6.6233179*cm 85.2171842*cm -0.1323475*rad 75.5799047*cm 6.6233179*cm 85.2171842*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 4 superlayer manual 1 layer manual 4 wire manual 1 
       sl1_layer4_s5  |          region1_s5  |Region 1, Super Layer 1, layer 4, Sector 5  |           -2.4612548*cm -5.8776191*cm -4.91507*cm  |          ordered: yxz 0*deg 0*deg 6*deg  |99aaff2   |              G4Trap  |0.56924*cm -0.4363323*rad 1.5707963*rad 75.5799047*cm 6.6233179*cm 85.2171842*cm -0.1323475*rad 75.5799047*cm 6.6233179*cm 85.2171842*cm -0.1323475*rad  |               dcgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                  dc  |                  dc  |sector manual 5 superlayer manual 1 layer manual 4 wire manual 1 
