       mucal_101_123  |         mucalVolume  |paddle 101 - Panel 1B - Sector 1  |                 -31.775*cm 2.325*cm 62.7788186*cm  |      2.1209675*deg 26.8458898*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_101_124  |         mucalVolume  |paddle 101 - Panel 1B - Sector 1  |                  -31.775*cm 3.875*cm 62.715231*cm  |      3.5356524*deg 26.8692918*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_101_125  |         mucalVolume  |paddle 101 - Panel 1B - Sector 1  |                 -31.775*cm 5.425*cm 62.6204061*cm  |      4.9513487*deg 26.9042602*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_101_126  |         mucalVolume  |paddle 101 - Panel 1B - Sector 1  |                 -31.775*cm 6.975*cm 62.4949903*cm  |      6.3683662*deg 26.9506391*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_101_127  |         mucalVolume  |paddle 101 - Panel 1B - Sector 1  |                 -31.775*cm 8.525*cm 62.3398113*cm  |      7.7869256*deg 27.0082297*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_101_128  |         mucalVolume  |paddle 101 - Panel 1B - Sector 1  |                -31.775*cm 10.075*cm 62.1558527*cm  |      9.2071396*deg 27.0767965*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_102_113  |         mucalVolume  |paddle 102 - Panel 1B - Sector 1  |               -30.225*cm -13.175*cm 62.3089829*cm  |    -11.9391194*deg 25.8772139*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_102_114  |         mucalVolume  |paddle 102 - Panel 1B - Sector 1  |               -30.225*cm -11.625*cm 62.5575546*cm  |    -10.5271308*deg 25.7877466*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_102_115  |         mucalVolume  |paddle 102 - Panel 1B - Sector 1  |               -30.225*cm -10.075*cm 62.7788186*cm  |     -9.1173175*deg 25.7085916*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
       mucal_102_116  |         mucalVolume  |paddle 102 - Panel 1B - Sector 1  |                -30.225*cm -8.525*cm 62.9714091*cm  |     -7.7097674*deg 25.6400619*deg 0*deg  | ff11aa   |                 Trd  |                      0.65*cm 0.85*cm 0.65*cm 0.85*cm 9.5*cm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |          sector manual 1 panel manual 1 
