         ahdc_mother  |                root  |                  Alert mother  |                              0.0*mm 0.0*mm 0.0*mm  |                                   0 0 0  | aa00ff   |                Tube  |                    0.4*cm 23.5*cm 32.227*cm 0.*deg 360.*deg  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
superlayer1_layer1_ahdccell6_subcell1  |         ahdc_mother  |          AHDCcell 6 Subcell 1  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm      25.216172*mm      22.806681*mm      26.683179*mm      21.071496*mm      23.543982*mm      18.592497*mm      22.249563*mm      20.123542*mm      31.302088*mm      13.273255*mm      32.118742*mm      11.152865*mm      28.340067*mm       9.840764*mm      27.619489*mm      11.711696*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 6 side manual 0 
superlayer1_layer1_ahdccell6_subcell2  |         ahdc_mother  |          AHDCcell 6 Subcell 2  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm      22.249563*mm      20.123542*mm      20.855773*mm      21.564711*mm      23.636543*mm      24.440005*mm      25.216172*mm      22.806681*mm      27.619489*mm      11.711696*mm      26.775557*mm      13.530320*mm      30.345631*mm      15.334363*mm      31.302088*mm      13.273255*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 6 side manual 0 
superlayer1_layer1_ahdccell7_subcell1  |         ahdc_mother  |          AHDCcell 7 Subcell 1  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm      21.951347*mm      25.964175*mm      23.636543*mm      24.440005*mm      20.855773*mm      21.564711*mm      19.368836*mm      22.909566*mm      29.253643*mm      17.326984*mm      30.345631*mm      15.334363*mm      26.775557*mm      13.530320*mm      25.812038*mm      15.288516*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 7 side manual 0 
superlayer1_layer1_ahdccell7_subcell2  |         ahdc_mother  |          AHDCcell 7 Subcell 2  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm      19.368836*mm      22.909566*mm      17.795392*mm      24.152102*mm      20.168111*mm      27.372382*mm      21.951347*mm      25.964175*mm      25.812038*mm      15.288516*mm      24.733236*mm      16.978428*mm      28.031001*mm      19.242219*mm      29.253643*mm      17.326984*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 7 side manual 0 
superlayer1_layer1_ahdccell8_subcell1  |         ahdc_mother  |          AHDCcell 8 Subcell 1  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm      18.294800*mm      28.658337*mm      20.168111*mm      27.372382*mm      17.795392*mm      24.152102*mm      16.142471*mm      25.286768*mm      26.683166*mm      21.071513*mm      28.031001*mm      19.242219*mm      24.733236*mm      16.978428*mm      23.543970*mm      18.592512*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 8 side manual 0 
superlayer1_layer1_ahdccell8_subcell2  |         ahdc_mother  |          AHDCcell 8 Subcell 2  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm      16.142471*mm      25.286768*mm      14.417453*mm      26.308498*mm      16.339780*mm      29.816298*mm      18.294800*mm      28.658337*mm      23.543970*mm      18.592512*mm      22.249550*mm      20.123556*mm      25.216157*mm      22.806697*mm      26.683166*mm      21.071513*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 8 side manual 0 
superlayer1_layer1_ahdccell9_subcell1  |         ahdc_mother  |          AHDCcell 9 Subcell 1  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm      14.311782*mm      30.841091*mm      16.339780*mm      29.816298*mm      14.417453*mm      26.308498*mm      12.628043*mm      27.212727*mm      23.636527*mm      24.440020*mm      25.216157*mm      22.806697*mm      22.249550*mm      20.123556*mm      20.855759*mm      21.564724*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 9 side manual 0 
superlayer1_layer1_ahdccell9_subcell2  |         ahdc_mother  |          AHDCcell 9 Subcell 2  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm      12.628043*mm      27.212727*mm      10.782233*mm      27.995418*mm      12.219864*mm      31.728141*mm      14.311782*mm      30.841091*mm      20.855759*mm      21.564724*mm      19.368821*mm      22.909578*mm      21.951331*mm      25.964189*mm      23.636527*mm      24.440020*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 9 side manual 0 
superlayer1_layer1_ahdccell10_subcell1  |         ahdc_mother  |         AHDCcell 10 Subcell 1  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm      10.073370*mm      32.473485*mm      12.219864*mm      31.728141*mm      10.782233*mm      27.995418*mm       8.888267*mm      28.653075*mm      20.168094*mm      27.372395*mm      21.951331*mm      25.964189*mm      19.368821*mm      22.909578*mm      17.795377*mm      24.152113*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 10 side manual 0 
superlayer1_layer1_ahdccell10_subcell2  |         ahdc_mother  |         AHDCcell 10 Subcell 2  |                              0.0*mm 0.0*mm 0.0*mm  |  0.0000*deg    0.0000*deg    0.0000*deg  | aa00ff   |       G4GenericTrap  |175.2500*mm       8.888267*mm      28.653075*mm       6.954605*mm      29.182760*mm       7.881885*mm      33.073795*mm      10.073370*mm      32.473485*mm      17.795377*mm      24.152113*mm      16.142455*mm      25.286778*mm      18.294782*mm      28.658349*mm      20.168094*mm      27.372395*mm  |             AHDCgas  |                  no  |     1   |     1   |     1   |   1   |   1   |                ahdc  |                ahdc  |superlayer manual 1 layer manual 1 ahdccell manual 10 side manual 0 
