superlayer1_layer1_ahdccell7_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm      23.636543*mm      24.440005*mm      25.216172*mm      22.806681*mm      22.249563*mm      20.123542*mm      20.855773*mm      21.564711*mm      13.852111*mm      31.050266*mm      15.895106*mm      30.055708*mm      14.025094*mm      26.519743*mm      12.222450*mm      27.397294*mm  |  1 1 7
superlayer1_layer1_ahdccell7_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm      20.855773*mm      21.564711*mm      19.368836*mm      22.909566*mm      21.951347*mm      25.964175*mm      23.636543*mm      24.440005*mm      12.222450*mm      27.397294*mm      10.365219*mm      28.152482*mm      11.747248*mm      31.906146*mm      13.852111*mm      31.050266*mm  |  1 1 7
superlayer1_layer1_ahdccell8_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm      20.168111*mm      27.372382*mm      21.951347*mm      25.964175*mm      19.368836*mm      22.909566*mm      17.795392*mm      24.152102*mm       9.589919*mm      32.619526*mm      11.747248*mm      31.906146*mm      10.365219*mm      28.152482*mm       8.461694*mm      28.781934*mm  |  1 1 8
superlayer1_layer1_ahdccell8_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm      17.795392*mm      24.152102*mm      16.142471*mm      25.286768*mm      18.294800*mm      28.658337*mm      20.168111*mm      27.372382*mm       8.461694*mm      28.781934*mm       6.520376*mm      29.282840*mm       7.389760*mm      33.187218*mm       9.589919*mm      32.619526*mm  |  1 1 8
superlayer1_layer1_ahdccell9_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm      16.339780*mm      29.816298*mm      18.294800*mm      28.658337*mm      16.142471*mm      25.286768*mm      14.417453*mm      26.308498*mm       5.156596*mm      33.606689*mm       7.389760*mm      33.187218*mm       6.520376*mm      29.282840*mm       4.549938*mm      29.652961*mm  |  1 1 9
superlayer1_layer1_ahdccell9_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm      14.417453*mm      26.308498*mm      12.628043*mm      27.212727*mm      14.311782*mm      30.841091*mm      16.339780*mm      29.816298*mm       4.549938*mm      29.652961*mm       2.559178*mm      29.890644*mm       2.900401*mm      33.876063*mm       5.156596*mm      33.606689*mm  |  1 1 9
superlayer1_layer1_ahdccell10_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm      12.219864*mm      31.728141*mm      14.311782*mm      30.841091*mm      12.628043*mm      27.212727*mm      10.782233*mm      27.995418*mm       0.631253*mm      33.994139*mm       2.900401*mm      33.876063*mm       2.559178*mm      29.890644*mm       0.556988*mm      29.994829*mm  |  1 1 10
superlayer1_layer1_ahdccell10_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm      10.782233*mm      27.995418*mm       8.888267*mm      28.653075*mm      10.073370*mm      32.473485*mm      12.219864*mm      31.728141*mm       0.556988*mm      29.994829*mm      -1.447689*mm      29.965050*mm      -1.640715*mm      33.960390*mm       0.631253*mm      33.994139*mm  |  1 1 10
superlayer1_layer1_ahdccell11_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm       7.881885*mm      33.073795*mm      10.073370*mm      32.473485*mm       8.888267*mm      28.653075*mm       6.954605*mm      29.182760*mm      -3.905355*mm      33.774964*mm      -1.640715*mm      33.960390*mm      -1.447689*mm      29.965050*mm      -3.445901*mm      29.801439*mm  |  1 1 11
superlayer1_layer1_ahdccell11_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 150.0000*mm       6.954605*mm      29.182760*mm       4.989881*mm      29.582108*mm       5.655198*mm      33.526389*mm       7.881885*mm      33.073795*mm      -3.445901*mm      29.801439*mm      -5.428723*mm      29.504728*mm      -6.152552*mm      33.438692*mm      -3.905355*mm      33.774964*mm  |  1 1 11
