              target  |                root  |              Target Container  |                                             0 0 0  |                                   0 0 0  | 22ff22   |            Polycone  |0.0*deg 360*deg 4*counts 0.0*mm 0.0*mm 0.0*mm 0.0*mm 56*mm 56*mm 26*mm 26*mm -116*mm 260*mm 290*mm 391*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
      ddvcs_ecal1_22  |          ddvcs_ecal  |        ft crystal (h:1, v:22)  |-323.566457124327*mm 1.9335428756732*mm 625.686324417167*mm  |0.17706099813763*deg 27.3455072432431*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 1 iv manual 22 
      ddvcs_ecal1_23  |          ddvcs_ecal  |        ft crystal (h:1, v:23)  |-323.566457124327*mm 17.4335428756732*mm 625.490427410062*mm  |1.59653966294807*deg 27.3528285344325*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 1 iv manual 23 
      ddvcs_ecal1_24  |          ddvcs_ecal  |        ft crystal (h:1, v:24)  |-323.566457124327*mm 32.9335428756732*mm 624.982274307691*mm  |3.01645188437598*deg 27.371836698237*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 1 iv manual 24 
      ddvcs_ecal1_25  |          ddvcs_ecal  |        ft crystal (h:1, v:25)  |-323.566457124327*mm 48.4335428756732*mm 624.165307833342*mm  |4.43715241097223*deg 27.4024475989851*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 1 iv manual 25 
      ddvcs_ecal1_26  |          ddvcs_ecal  |        ft crystal (h:1, v:26)  |-323.566457124327*mm 63.9335428756732*mm 623.044957852562*mm  |5.85894071023394*deg 27.444528808614*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 1 iv manual 26 
      ddvcs_ecal1_27  |          ddvcs_ecal  |        ft crystal (h:1, v:27)  |-323.566457124327*mm 79.4335428756732*mm 621.628466066122*mm  |7.28203822962791*deg 27.4979042491973*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 1 iv manual 27 
      ddvcs_ecal2_14  |          ddvcs_ecal  |        ft crystal (h:2, v:14)  |-308.066457124327*mm -122.066457124327*mm 622.391461690394*mm  |-11.0964016706177*deg 26.3344033285441*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 14 
      ddvcs_ecal2_15  |          ddvcs_ecal  |        ft crystal (h:2, v:15)  |-308.066457124327*mm -106.566457124327*mm 624.669811268315*mm  |-9.68135728179494*deg 26.2512612596148*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 15 
      ddvcs_ecal2_16  |          ddvcs_ecal  |        ft crystal (h:2, v:16)  |-308.066457124327*mm -91.0664571243268*mm 626.670049398598*mm  |-8.2683189235667*deg 26.1786692022417*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 16 
      ddvcs_ecal2_17  |          ddvcs_ecal  |        ft crystal (h:2, v:17)  |-308.066457124327*mm -75.5664571243268*mm 628.379726174764*mm  |-6.8573059783778*deg 26.116917285085*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 17 
