              target  |                root  |              Target Container  |                                             0 0 0  |                                   0 0 0  | 22ff22   |            Polycone  |0.0*deg 360*deg 4*counts 0.0*mm 0.0*mm 0.0*mm 0.0*mm 56*mm 56*mm 26*mm 26*mm -116*mm 260*mm 290*mm 391*mm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
     ddvcs_ecal13_19  |          ddvcs_ecal  |       ft crystal (h:13, v:19)  |          -147.25*mm -54.25*mm 696.113575827935*mm  |-4.45625322151645*deg 11.9439235785542*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 13 iv manual 19 
     ddvcs_ecal13_20  |          ddvcs_ecal  |       ft crystal (h:13, v:20)  |          -147.25*mm -38.75*mm 698.083886979009*mm  |-3.17720894104719*deg 11.9111765838782*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 13 iv manual 20 
     ddvcs_ecal13_21  |          ddvcs_ecal  |       ft crystal (h:13, v:21)  |          -147.25*mm -23.25*mm 699.431651889236*mm  |-1.90390351558064*deg 11.8888781872269*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 13 iv manual 21 
     ddvcs_ecal13_22  |          ddvcs_ecal  |       ft crystal (h:13, v:22)  |           -147.25*mm -7.75*mm 700.116464376751*mm  |-0.634221295100783*deg 11.8775796527431*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 13 iv manual 22 
     ddvcs_ecal13_23  |          ddvcs_ecal  |       ft crystal (h:13, v:23)  |            -147.25*mm 7.75*mm 700.116464376751*mm  |0.634221295100783*deg 11.8775796527431*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 13 iv manual 23 
     ddvcs_ecal13_24  |          ddvcs_ecal  |       ft crystal (h:13, v:24)  |           -147.25*mm 23.25*mm 699.431651889236*mm  |1.90390351558064*deg 11.8888781872269*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 13 iv manual 24 
     ddvcs_ecal13_25  |          ddvcs_ecal  |       ft crystal (h:13, v:25)  |           -147.25*mm 38.75*mm 698.083886979009*mm  |3.17720894104719*deg 11.9111765838782*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 13 iv manual 25 
     ddvcs_ecal13_26  |          ddvcs_ecal  |       ft crystal (h:13, v:26)  |           -147.25*mm 54.25*mm 696.113575827935*mm  |4.45625322151645*deg 11.9439235785542*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 13 iv manual 26 
     ddvcs_ecal13_27  |          ddvcs_ecal  |       ft crystal (h:13, v:27)  |           -147.25*mm 69.75*mm 693.574138251524*mm  |5.74276125124101*deg 11.9863922099866*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 13 iv manual 27 
     ddvcs_ecal13_28  |          ddvcs_ecal  |       ft crystal (h:13, v:28)  |           -147.25*mm 85.25*mm 690.525846348712*mm  |7.03800537633232*deg 12.0377653827946*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |               mucal  |               mucal  |               ih manual 13 iv manual 28 
