               mucal  |                root  |muon calorimeter mother volume  |                                             0 0 0  |                                   0 0 0  | a50021   |            Polycone  |0.0*deg 360*deg 2*counts 69.6707365417428*mm 69.6707365417428*mm 350.410161513775*mm 465.8802153517*mm 599.9*mm 800.1*mm  |              Vacuum  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
      ddvcs_ecal2_23  |          ddvcs_ecal  |        ft crystal (h:2, v:23)  |            -317.75*mm 7.75*mm 628.106946742681*mm  |0.70692479474559*deg 26.8344516633591*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 1 iv manual 22 
      ddvcs_ecal2_24  |          ddvcs_ecal  |        ft crystal (h:2, v:24)  |           -317.75*mm 23.25*mm 627.787883150964*mm  |2.12099056388775*deg 26.8461800029929*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 1 iv manual 23 
      ddvcs_ecal2_25  |          ddvcs_ecal  |        ft crystal (h:2, v:25)  |           -317.75*mm 38.75*mm 627.152013514938*mm  |3.53569082025562*deg 26.8695820229837*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 1 iv manual 24 
      ddvcs_ecal2_26  |          ddvcs_ecal  |        ft crystal (h:2, v:26)  |            -317.75*mm 54.25*mm 626.20377399193*mm  |4.95140239209195*deg 26.9045504709038*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 1 iv manual 25 
      ddvcs_ecal2_27  |          ddvcs_ecal  |        ft crystal (h:2, v:27)  |           -317.75*mm 69.75*mm 624.949627811328*mm  |6.36843516709001*deg 26.9509294664619*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 1 iv manual 26 
      ddvcs_ecal2_28  |          ddvcs_ecal  |        ft crystal (h:2, v:28)  |           -317.75*mm 85.25*mm 623.397852913311*mm  |7.78700971451259*deg 27.0085200557465*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 1 iv manual 27 
      ddvcs_ecal2_29  |          ddvcs_ecal  |        ft crystal (h:2, v:29)  |          -317.75*mm 100.75*mm 621.558284381299*mm  |9.20723884879859*deg 27.0770869432594*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 1 iv manual 28 
      ddvcs_ecal3_14  |          ddvcs_ecal  |        ft crystal (h:3, v:14)  |         -302.25*mm -131.75*mm 623.089571655224*mm  |-11.9392482599789*deg 25.8774922041262*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 13 
      ddvcs_ecal3_15  |          ddvcs_ecal  |        ft crystal (h:3, v:15)  |         -302.25*mm -116.25*mm 625.575264285445*mm  |-10.5272448328683*deg 25.7880247633093*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 14 
      ddvcs_ecal3_16  |          ddvcs_ecal  |        ft crystal (h:3, v:16)  |         -302.25*mm -100.75*mm 627.787883150964*mm  |-9.11741655412121*deg 25.7088695741509*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 15 
      ddvcs_ecal3_17  |          ddvcs_ecal  |        ft crystal (h:3, v:17)  |          -302.25*mm -85.25*mm 629.713769913129*mm  |-7.70985143171433*deg 25.6403398557241*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 16 
      ddvcs_ecal3_18  |          ddvcs_ecal  |        ft crystal (h:3, v:18)  |          -302.25*mm -69.75*mm 631.340286749079*mm  |-6.30449320048019*deg 25.5827275583638*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 17 
      ddvcs_ecal3_19  |          ddvcs_ecal  |        ft crystal (h:3, v:19)  |          -302.25*mm -54.25*mm 632.656176954473*mm  |-4.90115072391481*deg 25.5362942798069*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 18 
      ddvcs_ecal3_20  |          ddvcs_ecal  |        ft crystal (h:3, v:20)  |           -302.25*mm -38.75*mm 633.65191815676*mm  |-3.49951284017997*deg 25.5012623565083*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 19 
      ddvcs_ecal3_21  |          ddvcs_ecal  |        ft crystal (h:3, v:21)  |          -302.25*mm -23.25*mm 634.320045162141*mm  |-2.09916846441457*deg 25.4778067131112*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 20 
      ddvcs_ecal3_22  |          ddvcs_ecal  |        ft crystal (h:3, v:22)  |           -302.25*mm -7.75*mm 634.655418733407*mm  |-0.699631365051936*deg 25.4660480721457*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 21 
      ddvcs_ecal3_23  |          ddvcs_ecal  |        ft crystal (h:3, v:23)  |            -302.25*mm 7.75*mm 634.655418733407*mm  |0.699631365051936*deg 25.4660480721457*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 22 
      ddvcs_ecal3_24  |          ddvcs_ecal  |        ft crystal (h:3, v:24)  |           -302.25*mm 23.25*mm 634.320045162141*mm  |2.09916846441457*deg 25.4778067131112*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 23 
      ddvcs_ecal3_25  |          ddvcs_ecal  |        ft crystal (h:3, v:25)  |            -302.25*mm 38.75*mm 633.65191815676*mm  |3.49951284017997*deg 25.5012623565083*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 24 
      ddvcs_ecal3_26  |          ddvcs_ecal  |        ft crystal (h:3, v:26)  |           -302.25*mm 54.25*mm 632.656176954473*mm  |4.90115072391481*deg 25.5362942798069*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 25 
      ddvcs_ecal3_27  |          ddvcs_ecal  |        ft crystal (h:3, v:27)  |           -302.25*mm 69.75*mm 631.340286749079*mm  |6.30449320048019*deg 25.5827275583638*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 26 
      ddvcs_ecal3_28  |          ddvcs_ecal  |        ft crystal (h:3, v:28)  |           -302.25*mm 85.25*mm 629.713769913129*mm  |7.70985143171433*deg 25.6403398557241*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 27 
      ddvcs_ecal3_29  |          ddvcs_ecal  |        ft crystal (h:3, v:29)  |          -302.25*mm 100.75*mm 627.787883150964*mm  |9.11741655412121*deg 25.7088695741509*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 28 
      ddvcs_ecal3_30  |          ddvcs_ecal  |        ft crystal (h:3, v:30)  |          -302.25*mm 116.25*mm 625.575264285445*mm  |10.5272448328683*deg 25.7880247633093*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 29 
      ddvcs_ecal3_31  |          ddvcs_ecal  |        ft crystal (h:3, v:31)  |          -302.25*mm 131.75*mm 623.089571655224*mm  |11.9392482599789*deg 25.8774922041262*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 2 iv manual 30 
      ddvcs_ecal4_12  |          ddvcs_ecal  |        ft crystal (h:4, v:12)  |         -286.75*mm -162.75*mm 623.089571655224*mm  |-14.6386651628258*deg 24.7124613658816*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 11 
      ddvcs_ecal4_13  |          ddvcs_ecal  |        ft crystal (h:4, v:13)  |          -286.75*mm -147.25*mm 626.20377399193*mm  |-13.2326754639943*deg 24.6041532696954*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 12 
      ddvcs_ecal4_14  |          ddvcs_ecal  |        ft crystal (h:4, v:14)  |         -286.75*mm -131.75*mm 629.068717463138*mm  |-11.8289804027313*deg 24.5052975708423*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 13 
      ddvcs_ecal4_15  |          ddvcs_ecal  |        ft crystal (h:4, v:15)  |         -286.75*mm -116.25*mm 631.668017868958*mm  |-10.4279422413287*deg 24.416250784184*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 14 
      ddvcs_ecal4_16  |          ddvcs_ecal  |        ft crystal (h:4, v:16)  |         -286.75*mm -100.75*mm 633.985547244369*mm  |-9.02976280188263*deg 24.3373677358513*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 15 
      ddvcs_ecal4_17  |          ddvcs_ecal  |        ft crystal (h:4, v:17)  |          -286.75*mm -85.25*mm 636.005809197604*mm  |-7.634481466802*deg 24.2689924954326*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 16 
      ddvcs_ecal4_18  |          ddvcs_ecal  |        ft crystal (h:4, v:18)  |          -286.75*mm -69.75*mm 637.714356928287*mm  |-6.24197853475625*deg 24.2114482552481*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 17 
      ddvcs_ecal4_19  |          ddvcs_ecal  |        ft crystal (h:4, v:19)  |          -286.75*mm -54.25*mm 639.098235241683*mm  |-4.85198455865549*deg 24.1650266106278*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 18 
      ddvcs_ecal4_20  |          ddvcs_ecal  |        ft crystal (h:4, v:20)  |          -286.75*mm -38.75*mm 640.146421057026*mm  |-3.46409599010687*deg 24.129976862728*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 19 
      ddvcs_ecal4_21  |          ddvcs_ecal  |        ft crystal (h:4, v:21)  |           -286.75*mm -23.25*mm 640.85023184358*mm  |-2.07779703528422*deg 24.1064960902511*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 20 
      ddvcs_ecal4_22  |          ddvcs_ecal  |        ft crystal (h:4, v:22)  |            -286.75*mm -7.75*mm 641.20366950347*mm  |-0.692487124596991*deg 24.094720784147*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 21 
      ddvcs_ecal4_23  |          ddvcs_ecal  |        ft crystal (h:4, v:23)  |             -286.75*mm 7.75*mm 641.20366950347*mm  |0.692487124596991*deg 24.094720784147*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 22 
      ddvcs_ecal4_24  |          ddvcs_ecal  |        ft crystal (h:4, v:24)  |            -286.75*mm 23.25*mm 640.85023184358*mm  |2.07779703528422*deg 24.1064960902511*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 23 
      ddvcs_ecal4_25  |          ddvcs_ecal  |        ft crystal (h:4, v:25)  |           -286.75*mm 38.75*mm 640.146421057026*mm  |3.46409599010687*deg 24.129976862728*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 24 
      ddvcs_ecal4_26  |          ddvcs_ecal  |        ft crystal (h:4, v:26)  |           -286.75*mm 54.25*mm 639.098235241683*mm  |4.85198455865549*deg 24.1650266106278*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 25 
      ddvcs_ecal4_27  |          ddvcs_ecal  |        ft crystal (h:4, v:27)  |           -286.75*mm 69.75*mm 637.714356928287*mm  |6.24197853475625*deg 24.2114482552481*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 26 
      ddvcs_ecal4_28  |          ddvcs_ecal  |        ft crystal (h:4, v:28)  |           -286.75*mm 85.25*mm 636.005809197604*mm  |7.634481466802*deg 24.2689924954326*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 27 
      ddvcs_ecal4_29  |          ddvcs_ecal  |        ft crystal (h:4, v:29)  |          -286.75*mm 100.75*mm 633.985547244369*mm  |9.02976280188263*deg 24.3373677358513*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 28 
      ddvcs_ecal4_30  |          ddvcs_ecal  |        ft crystal (h:4, v:30)  |          -286.75*mm 116.25*mm 631.668017868958*mm  |10.4279422413287*deg 24.416250784184*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 29 
      ddvcs_ecal4_31  |          ddvcs_ecal  |        ft crystal (h:4, v:31)  |          -286.75*mm 131.75*mm 629.068717463138*mm  |11.8289804027313*deg 24.5052975708423*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 30 
      ddvcs_ecal4_32  |          ddvcs_ecal  |        ft crystal (h:4, v:32)  |           -286.75*mm 147.25*mm 626.20377399193*mm  |13.2326754639943*deg 24.6041532696954*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 31 
      ddvcs_ecal4_33  |          ddvcs_ecal  |        ft crystal (h:4, v:33)  |          -286.75*mm 162.75*mm 623.089571655224*mm  |14.6386651628258*deg 24.7124613658816*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 3 iv manual 32 
      ddvcs_ecal5_10  |          ddvcs_ecal  |        ft crystal (h:5, v:10)  |         -271.25*mm -193.75*mm 621.558284381299*mm  |-17.3133003843361*deg 23.5768535876778*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                 ih manual 4 iv manual 9 
      ddvcs_ecal5_11  |          ddvcs_ecal  |        ft crystal (h:5, v:11)  |         -271.25*mm -178.25*mm 625.262089355733*mm  |-15.9119805844499*deg 23.4523156144205*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 4 iv manual 10 
