               mucal  |                root  |muon calorimeter mother volume  |                                             0 0 0  |                                   0 0 0  | a50021   |            Polycone  |0.0*deg 360*deg 2*counts 69.6707365417428*mm 69.6707365417428*mm 350.410161513775*mm 465.8802153517*mm 599.9*mm 800.1*mm  |              Vacuum  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
     ddvcs_ecal10_30  |          ddvcs_ecal  |       ft crystal (h:10, v:30)  |          -193.75*mm 116.25*mm 666.943121613336*mm  |9.88757962628739*deg 16.1989888591106*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 9 iv manual 29 
     ddvcs_ecal10_31  |          ddvcs_ecal  |       ft crystal (h:10, v:31)  |          -193.75*mm 131.75*mm 663.413461249308*mm  |11.2325744094067*deg 16.2806211448366*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 9 iv manual 30 
     ddvcs_ecal10_32  |          ddvcs_ecal  |       ft crystal (h:10, v:32)  |           -193.75*mm 147.25*mm 659.58728973027*mm  |12.5848056027241*deg 16.3700198686473*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 9 iv manual 31 
     ddvcs_ecal10_33  |          ddvcs_ecal  |       ft crystal (h:10, v:33)  |          -193.75*mm 162.75*mm 655.496429810852*mm  |13.9438746920227*deg 16.4666652587581*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 9 iv manual 32 
     ddvcs_ecal10_34  |          ddvcs_ecal  |       ft crystal (h:10, v:34)  |          -193.75*mm 178.25*mm 651.170073579128*mm  |15.3091657328881*deg 16.5700885493088*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 9 iv manual 33 
     ddvcs_ecal10_35  |          ddvcs_ecal  |       ft crystal (h:10, v:35)  |          -193.75*mm 193.75*mm 646.634613345396*mm  |16.6798747866927*deg 16.6798747866927*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 9 iv manual 34 
     ddvcs_ecal10_36  |          ddvcs_ecal  |       ft crystal (h:10, v:36)  |          -193.75*mm 209.25*mm 641.913654292225*mm  |18.0550385267594*deg 16.7956624306347*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 9 iv manual 35 
     ddvcs_ecal10_37  |          ddvcs_ecal  |       ft crystal (h:10, v:37)  |          -193.75*mm 224.75*mm 637.028144471629*mm  |19.4335612389195*deg 16.9171408998108*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 9 iv manual 36 
     ddvcs_ecal10_38  |          ddvcs_ecal  |       ft crystal (h:10, v:38)  |          -193.75*mm 240.25*mm 631.996572437757*mm  |20.8142399105026*deg 17.0440469475143*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 9 iv manual 37 
     ddvcs_ecal10_39  |          ddvcs_ecal  |       ft crystal (h:10, v:39)  |          -193.75*mm 255.75*mm 626.835196884093*mm  |22.195787372171*deg 17.1761605004954*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 9 iv manual 38 
     ddvcs_ecal10_40  |          ddvcs_ecal  |       ft crystal (h:10, v:40)  |          -193.75*mm 271.25*mm 621.558284381299*mm  |23.5768535876778*deg 17.3133003843361*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 9 iv manual 39 
      ddvcs_ecal11_5  |          ddvcs_ecal  |        ft crystal (h:11, v:5)  |         -178.25*mm -271.25*mm 625.262089355733*mm  |-23.4523156144205*deg 15.9119805844499*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 10 iv manual 4 
      ddvcs_ecal11_6  |          ddvcs_ecal  |        ft crystal (h:11, v:6)  |         -178.25*mm -255.75*mm 630.687270290454*mm  |-22.0732761108225*deg 15.7819515357199*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 10 iv manual 5 
      ddvcs_ecal11_7  |          ddvcs_ecal  |        ft crystal (h:11, v:7)  |         -178.25*mm -240.25*mm 636.005809197604*mm  |-20.694178872915*deg 15.6564737242726*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 10 iv manual 6 
      ddvcs_ecal11_8  |          ddvcs_ecal  |        ft crystal (h:11, v:8)  |          -178.25*mm -224.75*mm 641.20366950347*mm  |-19.316410216659*deg 15.5357089073121*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 10 iv manual 7 
      ddvcs_ecal11_9  |          ddvcs_ecal  |        ft crystal (h:11, v:9)  |         -178.25*mm -209.25*mm 646.264651008995*mm  |-17.9412976004344*deg 15.4198578791479*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 10 iv manual 8 
     ddvcs_ecal11_10  |          ddvcs_ecal  |       ft crystal (h:11, v:10)  |         -178.25*mm -193.75*mm 651.170073579128*mm  |-16.5700885493088*deg 15.3091657328881*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 10 iv manual 9 
     ddvcs_ecal11_11  |          ddvcs_ecal  |       ft crystal (h:11, v:11)  |         -178.25*mm -178.25*mm 655.898446646753*mm  |-15.2039273889824*deg 15.2039273889824*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 10 
     ddvcs_ecal11_12  |          ddvcs_ecal  |       ft crystal (h:11, v:12)  |         -178.25*mm -162.75*mm 660.425146783792*mm  |-13.8438294661506*deg 15.104493025936*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 11 
     ddvcs_ecal11_13  |          ddvcs_ecal  |       ft crystal (h:11, v:13)  |         -178.25*mm -147.25*mm 664.722140823958*mm  |-12.4906525868756*deg 15.0112727958803*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 12 
     ddvcs_ecal11_14  |          ddvcs_ecal  |       ft crystal (h:11, v:14)  |          -178.25*mm -131.75*mm 668.75781258443*mm  |-11.1450656096665*deg 14.9247398660057*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 13 
     ddvcs_ecal11_15  |          ddvcs_ecal  |       ft crystal (h:11, v:15)  |         -178.25*mm -116.25*mm 672.496976293441*mm  |-9.80751458270856*deg 14.8454304096529*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 14 
     ddvcs_ecal11_16  |          ddvcs_ecal  |       ft crystal (h:11, v:16)  |         -178.25*mm -100.75*mm 675.901185587592*mm  |-8.47818762719278*deg 14.7739387408161*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 15 
     ddvcs_ecal11_17  |          ddvcs_ecal  |       ft crystal (h:11, v:17)  |          -178.25*mm -85.25*mm 678.929464673876*mm  |-7.15698102637605*deg 14.7109054874262*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 16 
     ddvcs_ecal11_18  |          ddvcs_ecal  |       ft crystal (h:11, v:18)  |          -178.25*mm -69.75*mm 681.539582967155*mm  |-5.84347065406311*deg 14.6569967808632*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 17 
     ddvcs_ecal11_19  |          ddvcs_ecal  |       ft crystal (h:11, v:19)  |          -178.25*mm -54.25*mm 683.689946550825*mm  |-4.5368946919953*deg 14.6128732285999*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 18 
     ddvcs_ecal11_20  |          ddvcs_ecal  |       ft crystal (h:11, v:20)  |          -178.25*mm -38.75*mm 685.342072583642*mm  |-3.23615490156495*deg 14.5791492101723*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 19 
     ddvcs_ecal11_21  |          ddvcs_ecal  |       ft crystal (h:11, v:21)  |          -178.25*mm -23.25*mm 686.463448072394*mm  |-1.9398435506523*deg 14.5563457659208*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 20 
     ddvcs_ecal11_22  |          ddvcs_ecal  |       ft crystal (h:11, v:22)  |           -178.25*mm -7.75*mm 687.030389439878*mm  |-0.646300484196994*deg 14.5448434174267*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 21 
     ddvcs_ecal11_23  |          ddvcs_ecal  |       ft crystal (h:11, v:23)  |            -178.25*mm 7.75*mm 687.030389439878*mm  |0.646300484196994*deg 14.5448434174267*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 22 
     ddvcs_ecal11_24  |          ddvcs_ecal  |       ft crystal (h:11, v:24)  |           -178.25*mm 23.25*mm 686.463448072394*mm  |1.9398435506523*deg 14.5563457659208*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 23 
     ddvcs_ecal11_25  |          ddvcs_ecal  |       ft crystal (h:11, v:25)  |           -178.25*mm 38.75*mm 685.342072583642*mm  |3.23615490156495*deg 14.5791492101723*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 24 
     ddvcs_ecal11_26  |          ddvcs_ecal  |       ft crystal (h:11, v:26)  |           -178.25*mm 54.25*mm 683.689946550825*mm  |4.5368946919953*deg 14.6128732285999*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 25 
     ddvcs_ecal11_27  |          ddvcs_ecal  |       ft crystal (h:11, v:27)  |           -178.25*mm 69.75*mm 681.539582967155*mm  |5.84347065406311*deg 14.6569967808632*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 26 
     ddvcs_ecal11_28  |          ddvcs_ecal  |       ft crystal (h:11, v:28)  |           -178.25*mm 85.25*mm 678.929464673876*mm  |7.15698102637605*deg 14.7109054874262*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 27 
     ddvcs_ecal11_29  |          ddvcs_ecal  |       ft crystal (h:11, v:29)  |          -178.25*mm 100.75*mm 675.901185587592*mm  |8.47818762719278*deg 14.7739387408161*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 28 
     ddvcs_ecal11_30  |          ddvcs_ecal  |       ft crystal (h:11, v:30)  |          -178.25*mm 116.25*mm 672.496976293441*mm  |9.80751458270856*deg 14.8454304096529*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 29 
     ddvcs_ecal11_31  |          ddvcs_ecal  |       ft crystal (h:11, v:31)  |           -178.25*mm 131.75*mm 668.75781258443*mm  |11.1450656096665*deg 14.9247398660057*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 30 
     ddvcs_ecal11_32  |          ddvcs_ecal  |       ft crystal (h:11, v:32)  |          -178.25*mm 147.25*mm 664.722140823958*mm  |12.4906525868756*deg 15.0112727958803*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 31 
     ddvcs_ecal11_33  |          ddvcs_ecal  |       ft crystal (h:11, v:33)  |          -178.25*mm 162.75*mm 660.425146783792*mm  |13.8438294661506*deg 15.104493025936*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 32 
     ddvcs_ecal11_34  |          ddvcs_ecal  |       ft crystal (h:11, v:34)  |          -178.25*mm 178.25*mm 655.898446646753*mm  |15.2039273889824*deg 15.2039273889824*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 33 
     ddvcs_ecal11_35  |          ddvcs_ecal  |       ft crystal (h:11, v:35)  |          -178.25*mm 193.75*mm 651.170073579128*mm  |16.5700885493088*deg 15.3091657328881*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 34 
     ddvcs_ecal11_36  |          ddvcs_ecal  |       ft crystal (h:11, v:36)  |          -178.25*mm 209.25*mm 646.264651008995*mm  |17.9412976004344*deg 15.4198578791479*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 35 
     ddvcs_ecal11_37  |          ddvcs_ecal  |       ft crystal (h:11, v:37)  |           -178.25*mm 224.75*mm 641.20366950347*mm  |19.316410216659*deg 15.5357089073121*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 36 
     ddvcs_ecal11_38  |          ddvcs_ecal  |       ft crystal (h:11, v:38)  |          -178.25*mm 240.25*mm 636.005809197604*mm  |20.694178872915*deg 15.6564737242726*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 37 
     ddvcs_ecal11_39  |          ddvcs_ecal  |       ft crystal (h:11, v:39)  |          -178.25*mm 255.75*mm 630.687270290454*mm  |22.0732761108225*deg 15.7819515357199*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 38 
     ddvcs_ecal11_40  |          ddvcs_ecal  |       ft crystal (h:11, v:40)  |          -178.25*mm 271.25*mm 625.262089355733*mm  |23.4523156144205*deg 15.9119805844499*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 10 iv manual 39 
      ddvcs_ecal12_4  |          ddvcs_ecal  |        ft crystal (h:12, v:4)  |         -162.75*mm -286.75*mm 623.089571655224*mm  |-24.7124613658816*deg 14.6386651628258*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 11 iv manual 3 
      ddvcs_ecal12_5  |          ddvcs_ecal  |        ft crystal (h:12, v:5)  |         -162.75*mm -271.25*mm 628.747358413725*mm  |-23.3362544438709*deg 14.512524691635*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 11 iv manual 4 
      ddvcs_ecal12_6  |          ddvcs_ecal  |        ft crystal (h:12, v:6)  |         -162.75*mm -255.75*mm 634.320045162141*mm  |-21.9589111279767*deg 14.3903442164674*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 11 iv manual 5 
      ddvcs_ecal12_7  |          ddvcs_ecal  |        ft crystal (h:12, v:7)  |         -162.75*mm -240.25*mm 639.796030343006*mm  |-20.5818882478019*deg 14.2722301988281*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 11 iv manual 6 
      ddvcs_ecal12_8  |          ddvcs_ecal  |        ft crystal (h:12, v:8)  |         -162.75*mm -224.75*mm 645.161766668171*mm  |-19.2066071416917*deg 14.1583218028419*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 11 iv manual 7 
      ddvcs_ecal12_9  |          ddvcs_ecal  |        ft crystal (h:12, v:9)  |         -162.75*mm -209.25*mm 650.401411893141*mm  |-17.8344351699098*deg 14.048796205188*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 11 iv manual 8 
     ddvcs_ecal12_10  |          ddvcs_ecal  |       ft crystal (h:12, v:10)  |         -162.75*mm -193.75*mm 655.496429810852*mm  |-16.4666652587581*deg 13.9438746920227*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |                ih manual 11 iv manual 9 
     ddvcs_ecal12_11  |          ddvcs_ecal  |       ft crystal (h:12, v:11)  |         -162.75*mm -178.25*mm 660.425146783792*mm  |-15.104493025936*deg 13.8438294661506*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 11 iv manual 10 
     ddvcs_ecal12_12  |          ddvcs_ecal  |       ft crystal (h:12, v:12)  |         -162.75*mm -162.75*mm 665.162279948111*mm  |-13.7489909231874*deg 13.7489909231874*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 11 iv manual 11 
     ddvcs_ecal12_13  |          ddvcs_ecal  |       ft crystal (h:12, v:13)  |         -162.75*mm -147.25*mm 669.678470965894*mm  |-12.4010787696098*deg 13.6597548848404*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 11 iv manual 12 
     ddvcs_ecal12_14  |          ddvcs_ecal  |       ft crystal (h:12, v:14)  |         -162.75*mm -131.75*mm 673.939886254429*mm  |-11.061490118924*deg 13.5765888640026*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 11 iv manual 13 
     ddvcs_ecal12_15  |          ddvcs_ecal  |       ft crystal (h:12, v:15)  |         -162.75*mm -116.25*mm 677.907982473725*mm  |-9.73073424011259*deg 13.5000358569018*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 11 iv manual 14 
     ddvcs_ecal12_16  |          ddvcs_ecal  |       ft crystal (h:12, v:16)  |         -162.75*mm -100.75*mm 681.539582967155*mm  |-8.40905428540099*deg 13.430713438069*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 11 iv manual 15 
     ddvcs_ecal12_17  |          ddvcs_ecal  |       ft crystal (h:12, v:17)  |          -162.75*mm -85.25*mm 684.787457828428*mm  |-7.096383695179*deg 13.3693052113632*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 11 iv manual 16 
     ddvcs_ecal12_18  |          ddvcs_ecal  |       ft crystal (h:12, v:18)  |          -162.75*mm -69.75*mm 687.601626001917*mm  |-5.79230519326876*deg 13.3165412701613*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 11 iv manual 17 
     ddvcs_ecal12_19  |          ddvcs_ecal  |       ft crystal (h:12, v:19)  |          -162.75*mm -54.25*mm 689.931566133148*mm  |-4.49601970418274*deg 13.2731647956755*deg 0*deg  | E2A7F5   |                 Trd  |                           6.5*mm 8.5*mm 6.5*mm 8.5*mm 95*mm  |            G4_PbWO4  |                  no  |     1   |     1   |     1   |   1   |   1   |              ft_cal  |              ft_cal  |               ih manual 11 iv manual 18 
